source-country,target-mountain
India,Kangchenjunga
China,K2
China,Mount Everest
Nepal,Mount Everest
Pakistan,K2
Nepal,Kangchenjunga
China,Broad Peak
China,Gasherbrum I
Nepal,Makalu
Nepal,Cho Oyu
Nepal,Lhotse
China,Lhotse
China,Makalu
China,Cho Oyu
Nepal,Dhaulagiri
Nepal,Manaslu
Pakistan,Nanga Parbat
Nepal,Annapurna
Pakistan,Gasherbrum I
Pakistan,Broad Peak
Pakistan,Gasherbrum IV
China,Gasherbrum III
China,Gyachung Kang
China,Gasherbrum II
Pakistan,Gasherbrum II
China,Shishapangma
Nepal,Gyachung Kang
Pakistan,Gasherbrum III
Nepal,Annapurna II
China,Gasherbrum IV
Nepal,Himalchuli
Pakistan,Saltoro Kangri
Pakistan,Distaghil Sar
China,Chomo Lonzo
Nepal,Ngadi Chuli
Nepal,Nuptse
Pakistan,Khunyang Chhish
Pakistan,Masherbrum
India,Nanda Devi
Nepal,Chomo Lonzo
Pakistan,Batura Sar
Pakistan,Kanjut Sar
Pakistan,Rakaposhi
China,Namcha Barwa
Pakistan,Batura II
India,Kamet
India,Saltoro Kangri
Pakistan,Batura III
China,Kongur Tagh
Nepal,Jannu
China,Molamenqing
China,Gurla Mandhata
Pakistan,Tirich Mir
India,Saser Kangri
Pakistan,Chogolisa
Pakistan,Shispare
China,Changtse
Pakistan,Trivor
China,Gangkhar Puensum
Bhutan,Gangkhar Puensum
China,Gongga Shan
Nepal,Annapurna III
China,Kula Kangri
Pakistan,Chogolisa II
China,Muztagh Ata
China,Skyang Kangri
Pakistan,Skyang Kangri
Pakistan,Yukshin Gardan Sar
Nepal,Annapurna IV
India,Mamostong Kangri
Tajikistan,Ismoil Somoni Peak
Afghanistan,Noshaq
Pakistan,Pumari Chhish
Pakistan,Passu Sar
Pakistan,Malubiting
Nepal,Gangapurna
Nepal,Kabru
Pakistan,Ghent Kangri
China,Jengish Chokusu
Pakistan,K12
Kyrgyzstan,Jengish Chokusu
India,K12
Pakistan,Istor-o-Nal
India,Ghent Kangri
Pakistan,Haramosh Peak
India,Kabru
Pakistan,Ultar
China,Labuche Kang
India,Rimo I
Pakistan,Sherpi Kangri
Nepal,Labuche Kang
China,Jomolhari /Chomolhari
Nepal,Gimmigela Chuli
Nepal,Kirat Chuli
India,Kirat Chuli
Pakistan,Skil Brum
India,Gimmigela Chuli
Pakistan,Bojohagur Duanasir
Nepal,Chamlang
Bhutan,Jomolhari /Chomolhari
Pakistan,Baltoro Kangri
China,Siguang Ri
China,The Crown
China,Gyala Peri
China,Porong Ri
Pakistan,Baintha Brakk
Pakistan,Yutmaru Sar
Pakistan,K6
China,Kangpenqing
India,Mana Peak
Pakistan,Muztagh Tower
Pakistan,Diran
China/India,Apsarasas Kangri
Nepal,Langtang Lirung
China,Khartaphu
Bhutan/China,Tongshanjiabu
Nepal/China (Tibet),Langtang Ri
Bhutan/China,Kangphu Kang
Nepal,Annapurna South
China,Melungtse
China,Liushi Shan
Nepal,Baruntse
Nepal,Pumori
Nepal,Nemjung
Pakistan,Udren Zom
India,Nun Kun
Nepal,Tilicho Peak
Nepal,Gauri Sankar
Kyrgyzstan,Lenin Peak
Nepal,Api
India,Pauhunri
Tajikistan,Korzhenevskaya
China,Lunpo Gangri
India,Tirsuli
India,Dunagiri
China,Kangto
China,Nyegyi Kansang
China,Kezhen Peak
Afghanistan,Shah Dhar
Pakistan,Spantik
Kazakhstan,Khan Tengri
Pakistan,Shah Dhar
India,Kangto
India,Nyegyi Kansang
China,Pauhunri
China,Gauri Sankar
Tajikistan,Lenin Peak
Kyrgyzstan,Khan Tengri
