source-Country,target-adjective
Portugal,Portuguese
Belarus,Belarusian
Tanzania,Tanzanian
Morocco,Moroccan
Mali,Malian
Ecuador,Ecuadorian
Kyrgyzstan,Kyrgyzstani
Indonesia,Indonesian
Luxembourg,Luxembourgish
Nicaragua,Nicaraguan
Chile,Chilean
Afghanistan,Afghan
France,French
Puerto Rico,Puerto Rican
Bahrain,Bahraini
Fiji,Fijian
Cape Verde,Cape Verdean
Niue,Niuean
Sierra Leone,Sierra Leonean
Djibouti,Djiboutian
Cayman Islands,Caymanian
Latvia,Latvian
Bangladesh,Bangladeshi
Bosnia and Herzegovina,Bosnian
Panama,Panamanian
Samoa,Samoan
Oman,Omani
Burundi,Burundian
Turkey,Turk
Guyana,Guyanese
Niger,Nigerien
Kiribati,I-Kiribati
Isle Of Man,Manx
Laos,Laotian
Mozambique,Mozambican
Chad,Chadian
Guam,Guamanian
Benin,Beninese
Romania,Romanian
Marshall Islands,Marshallese
Iceland,Icelandic
Algeria,Algerian
Madagascar,Malagasy
Comoros,Comorian
Belize,Belizean
Saudi Arabia,Saudi Saudi Arabian
Paraguay,Paraguayan
Barbados,Barbadian
Ireland,Irish
Lebanon,Lebanese
England,English
Northern Ireland,Northern Irish
Lesotho,Basotho
Yemen,Yemeni
Malaysia,Malaysian
Aruba,Aruban
Albania,Albanian
British Virgin Islands,British Virgin Islander
Montserrat,Montserratian
Mongolia,Mongolian
San Marino,Sammarinese
Guatemala,Guatemalan
Austria,Austrian
American Samoa,American Samoan
Mauritania,Mauritanian
Bermuda,bermudan
Hungary,Hungarian
Mauritius,Mauritian
Argentina,Argentine
Poland,Polish
South Sudan,South Sudanese
Russia,Russian
Bulgaria,Bulgarian
Georgia,Georgian
Norway,Norwegian
Germany,German
New Zealand,New Zealander
Japan,Japanese
South Korea,South Korean
United Arab Emirates,Emirati
Angola,Angolan
Nauru,Nauruan
Iran,Persian
Iran,Iranian
Taiwan,Taiwanese
Slovakia,Slovak
Greece,Greek
Maldives,Maldivian
Thailand,Thai
Costa Rica,Costa Rican
Tajikistan,Tajikistani
Sri Lanka,Sri Lankan
Brunei,Bruneian
Tonga,Tongan
Iraq,Iraqi
Italy,Italian
Moldova,Moldovan
Greenland,Greenlandic
Senegal,Senegalese
Papua New Guinea,papuan
East Timor,Timorese
Jordan,Jordanian
Guinea,Guinean
Cyprus,Cypriot
Micronesia,micronesian
Denmark,Dane
Eritrea,Eritrean
Namibia,Namibian
Kuwait,Kuwaiti
Ghana,Ghanaian
Pakistan,Pakistani
Uruguay,Uruguayan
Cook Islands,Cook Islander
Gabon,Gabonese
Libya,Libyan
Wales,Welsh
Montenegro,Montenegrin
Andorra,Andorran
Rwanda,Rwandan
Armenia,Armenian
Faroe Islands,Faroese
Swaziland,Swazi
Brazil,Brazilian
Venezuela,Venezuelan
Croatia,Croatian
Cameroon,Cameroonian
Zimbabwe,Zimbabwean
Sweden,Swedish
Serbia,Serbian
Qatar,Qatari
Nigeria,Nigerian
Estonia,Estonian
Tuvalu,Tuvaluan
Spain,Spanish
Palau,Palauan
Bhutan,Bhutanese
Israel,Israeli
Mayotte,Mahoran
Nepal,Nepali
Azerbaijan,Azeri
Vietnam,Vietnamese
Solomon Islands,Solomon Islander
Bolivia,Bolivian
Liberia,Liberian
Turkmenistan,Turkmen
Turks and Caicos Islands,none
Ethiopia,Ethiopian
Honduras,Honduran
French Polynesia,French Polynesian
Peru,Peruvian
Malawi,Malawian
Tunisia,Tunisian
Netherlands,Dutch
Gibraltar,Gibraltar
China,Chinese
New Caledonia,New Caledonian
Antigua and Barbuda,Antiguan Barbudan
Finland,Finnish
Gambia,gambian
Lithuania,Lithuanian
Uganda,Ugandan
Togo,Togolese
Seychelles,Seychellois
Sudan,Sudanese
Malta,Maltese
Grenada,Grenadian
Cambodia,Cambodian
Bahamas,Bahamian
Zambia,Zambian
Belgium,Belgian
Singapore,Singaporean
Anguilla,Anguillan
Guinea-Bissau,Guinean
Botswana,Botswanan
